Субъект,Дата,Метка,Сигнал
subject 2,2022-05-21,4.0,[-13130. -13882. -15220. ... -12876. -11819. -11024.]
subject 2,2022-05-21,4.0,[-11553. -12204. -13450. ... -20549. -18981. -17152.]
subject 2,2022-05-21,4.0,[-16061. -16868. -17615. ... -17400. -15822. -14788.]
subject 2,2022-05-21,4.0,[-11206. -12184. -14041. ... -23697. -21318. -20207.]
subject 2,2022-05-21,4.0,[-18724. -19876. -19876. ... -17565. -15788. -14053.]
subject 2,2022-05-21,4.0,[-10157. -10347. -11662. ... -19937. -19926. -19431.]
subject 2,2022-05-21,4.0,[-12149. -12901. -13388. ... -18181. -16404. -14956.]
subject 2,2022-05-21,4.0,[-17637. -19209. -20094. ... -14102. -13391. -13218.]
subject 2,2022-05-21,4.0,[-13173. -14901. -17047. ... -12031. -11557. -11609.]
subject 2,2022-05-21,4.0,[-12942. -14464. -16762. ... -12799. -12442. -12077.]
subject 2,2022-05-21,4.0,[ -9896.  -9591.  -9271. ... -17653. -15559. -13514.]
subject 2,2022-05-21,4.0,[-13741. -14722. -16419. ... -16017. -13934. -12206.]
subject 2,2022-05-21,4.0,[ -6404.  -6020.  -6096. ... -23914. -21983. -19676.]
subject 2,2022-05-21,4.0,[-14562. -16283. -17999. ... -14279. -13676. -13116.]
subject 2,2022-05-21,4.0,[-11074. -11685. -12205. ... -17703. -16136. -15034.]
subject 2,2022-05-21,4.0,[-14443. -14350. -14537. ... -17667. -15571. -14404.]
subject 2,2022-05-21,4.0,[-12999. -12865. -13161. ... -15004. -12447. -12001.]
subject 2,2022-05-21,4.0,[-13189. -15144. -17026. ... -17875. -16122. -14989.]
subject 2,2022-05-21,4.0,[ -8360.  -9901. -12009. ... -14127. -12477. -11647.]
subject 2,2022-05-21,4.0,[-14688. -15852. -17645. ... -16713. -14951. -13253.]
subject 2,2022-05-21,4.0,[-11221. -11424. -11951. ... -18422. -16795. -15149.]
subject 2,2022-05-21,4.0,[ -7753.  -8047.  -8831. ... -11598.  -9863.  -8369.]
subject 2,2022-05-21,4.0,[ -4119.  -4945.  -6596. ... -10852. -10396. -10149.]
subject 2,2022-05-21,4.0,[-11212. -11214. -11722. ... -14964. -12663. -10848.]
subject 2,2022-05-21,4.0,[ -7896.  -7737.  -8067. ... -10062. -10247. -10396.]
subject 2,2022-05-21,4.0,[ -9686. -11846. -14016. ... -13696. -16739. -12474.]
subject 2,2022-05-21,4.0,[-12151. -11621. -11780. ... -16552. -14506. -12539.]
subject 2,2022-05-21,4.0,[ -6612.  -7142.  -8024. ... -13842. -12001. -11041.]
subject 2,2022-05-21,4.0,[-10094. -10077. -10605. ... -14684. -13112. -12404.]
subject 2,2022-05-21,4.0,[-10980. -10964. -11404. ... -20264. -18245. -15774.]
subject 2,2022-05-21,4.0,[-12129. -13911. -16199. ...  -8480.  -6616.  -5767.]
subject 2,2022-05-21,4.0,[-15289. -16559. -16951. ... -10541. -10415. -10349.]
subject 2,2022-05-21,4.0,[-14133. -15313. -16382. ... -14887. -13521. -12804.]
subject 2,2022-05-21,4.0,[ -7001.  -7074.  -7141. ... -16466. -15508. -14267.]
subject 2,2022-05-21,4.0,[-12375. -13894. -15569. ... -12560. -12833. -12767.]
subject 2,2022-05-21,4.0,[-4298. -4166. -4048. ... -9009. -7612. -6766.]
subject 2,2022-05-21,4.0,[ -6225.  -7313.  -8982. ... -13000. -13259. -13702.]
subject 2,2022-05-21,4.0,[-14669. -15432. -16932. ... -12948. -12971. -13103.]
subject 2,2022-05-21,4.0,[-13782. -14764. -16116. ... -14973. -13395. -11682.]
subject 2,2022-05-21,4.0,[-12867. -14204. -15127. ... -14516. -13771. -13323.]
subject 2,2022-05-21,4.0,[-13164. -14239. -15572. ... -15797. -14566. -13682.]
subject 2,2022-05-21,4.0,[-13664. -13353. -13416. ... -20817. -19917. -17761.]
subject 2,2022-05-21,4.0,[-14104. -15530. -17784. ... -11974. -11994. -11826.]
subject 2,2022-05-21,4.0,[-12974. -12403. -12131. ... -18734. -17334. -15911.]
subject 2,2022-05-21,4.0,[-14527. -15009. -15481. ... -16311. -15187. -15033.]
subject 2,2022-05-21,4.0,[-14432. -14861. -15697. ... -13522. -12910. -12692.]
subject 2,2022-05-21,4.0,[-18283. -16704. -15469. ... -20385. -20836. -20524.]
subject 2,2022-05-21,4.0,[-13060. -12693. -12531. ... -21734. -20137. -18491.]
subject 2,2022-05-21,4.0,[-18427. -20072. -21562. ... -13671. -13942. -14211.]
subject 2,2022-05-21,4.0,[-13634. -12733. -12426. ... -24376. -23245. -21818.]
subject 2,2022-05-21,4.0,[-17019. -16579. -16033. ... -20516. -19190. -17987.]
subject 2,2022-05-21,4.0,[-14592. -14651. -14622. ... -15211. -14811. -15112.]
subject 2,2022-05-21,4.0,[-15211. -14811. -15112. ... -20512. -19091. -17574.]
subject 2,2022-05-21,4.0,[-13763. -14472. -14975. ... -18651. -17759. -17259.]
subject 2,2022-05-21,4.0,[-16838. -18262. -19808. ... -13416. -14016. -14365.]
subject 2,2022-05-21,4.0,[-14245. -15344. -16292. ... -13931. -13180. -12892.]
subject 2,2022-05-21,4.0,[-10584. -11679. -12616. ...  -8444.  -8656. -12381.]
subject 2,2022-05-21,4.0,[ -7559.  -8683. -10441. ... -14154. -13649. -13692.]
subject 2,2022-05-21,4.0,[-20366. -20913. -21450. ... -14592. -14497. -14689.]
subject 2,2022-05-21,4.0,[-14042. -14801. -15494. ... -15770. -14197. -12910.]
subject 2,2022-05-21,4.0,[-11459. -12231. -13996. ... -17666. -16406. -15365.]
subject 2,2022-05-21,4.0,[-14191. -13414. -13178. ... -19108. -18829. -18122.]
subject 2,2022-05-21,4.0,[-24071. -23237. -22698. ... -18055. -16815. -16621.]
subject 2,2022-05-21,4.0,[-13342. -14096. -14714. ... -13384. -12698. -11864.]
subject 2,2022-05-21,4.0,[-10267. -10914. -11886. ... -21579. -15619. -14674.]
subject 2,2022-05-21,4.0,[-16956. -18252. -18947. ... -10794. -11457. -12379.]
subject 2,2022-05-21,4.0,[ -9816.  -9664.  -9904. ... -15272. -13867. -13209.]
subject 2,2022-05-21,4.0,[-12276. -13165. -13881. ... -12282. -11149. -10192.]
subject 2,2022-05-21,4.0,[-12287. -12615. -12419. ... -13802. -14758. -16489.]
subject 2,2022-05-21,4.0,[-15242. -17046. -18871. ... -12074. -12467. -12357.]
subject 2,2022-05-21,4.0,[-12827. -12936. -12787. ... -14551. -13270. -12657.]
subject 2,2022-05-21,4.0,[-18494. -18889. -19409. ... -18625. -19052. -19026.]
subject 2,2022-05-21,4.0,[-12255. -13469. -14791. ... -13011. -12606. -12350.]
subject 2,2022-05-21,4.0,[-11895. -11747. -12292. ... -13569. -12640. -11837.]
subject 2,2022-05-21,4.0,[-12525. -13606. -14709. ... -17180. -15565. -14576.]
subject 2,2022-05-21,4.0,[-18161. -19087. -19886. ... -11212. -11374. -11699.]
subject 2,2022-05-21,4.0,[-11822. -11422. -11244. ... -16684. -15295. -14134.]
subject 2,2022-05-21,4.0,[-13851. -13029. -11886. ... -20111. -20756. -20994.]
subject 2,2022-05-21,4.0,[-13602. -13881. -15358. ... -13849. -12781. -12334.]
subject 2,2022-05-21,4.0,[-14139. -15649. -16179. ...  -7879.  -7348.  -7069.]
subject 2,2022-05-21,4.0,[-14602. -16169. -18094. ...  -6701.  -6236.  -5981.]
subject 2,2022-05-21,4.0,[-18212. -18832. -19624. ... -11837. -13162. -14677.]
subject 2,2022-05-21,4.0,[-15042. -15089. -15028. ... -16379. -14872. -14196.]
subject 2,2022-05-21,4.0,[-12881. -11312.  -9842. ... -16879. -16248. -14896.]
subject 2,2022-05-21,4.0,[-12679. -14793. -16198. ...  -9682.  -9854. -10025.]
subject 2,2022-05-21,4.0,[-11577. -10856. -10161. ... -19407. -19181. -18494.]
subject 2,2022-05-21,4.0,[-13034. -13179. -14085. ... -19166. -18367. -17929.]
subject 2,2022-05-21,4.0,[ -7510.  -7701.  -8792. ... -11251.  -9764.  -8543.]
subject 2,2022-05-21,4.0,[ -8216.  -9098. -10374. ...  -9555.  -9202.  -9074.]
subject 2,2022-05-21,4.0,[ -8082. -10152. -12637. ... -13552. -13077. -12703.]
subject 2,2022-05-21,4.0,[-13431. -14629. -15934. ... -13851. -12926. -12501.]
subject 2,2022-05-21,4.0,[-15392. -17475. -19392. ...  -8976.  -8881.  -9402.]
subject 2,2022-05-21,4.0,[-10299. -10628. -11432. ... -17153. -15057. -13371.]
subject 2,2022-05-21,4.0,[-13573. -14353. -14859. ... -15396. -16184. -18996.]
subject 2,2022-05-21,4.0,[-16184. -18996. -17995. ... -21594. -20539. -20122.]
subject 2,2022-05-21,4.0,[-21674. -21967. -22021. ... -14067. -14267. -14851.]
subject 2,2022-05-21,4.0,[-17596. -17732. -18187. ... -17543. -16914. -16968.]
subject 2,2022-05-21,4.0,[-18131. -17510. -16988. ... -20577. -20069. -19216.]
subject 2,2022-05-21,4.0,[-18417. -18030. -17674. ... -20702. -19866. -19073.]
subject 2,2022-05-21,4.0,[-17747. -17785. -17659. ... -18942. -18554. -17567.]
subject 2,2022-05-21,4.0,[-19031. -18582. -18201. ... -21202. -21026. -20772.]
subject 2,2022-05-21,4.0,[-18227. -18634. -18275. ... -18781. -18241. -18241.]
subject 2,2022-05-21,4.0,[-19559. -19874. -20208. ... -20823. -25518. -20471.]
subject 2,2022-05-21,4.0,[-18752. -18484. -18254. ... -21614. -20959. -20550.]
subject 2,2022-05-21,4.0,[-18624. -18412. -18183. ... -20830. -20682. -20410.]
subject 2,2022-05-21,4.0,[-20129. -20300. -20104. ... -17877. -18252. -19092.]
subject 2,2022-05-21,4.0,[-17361. -18164. -18219. ... -18888. -18541. -18236.]
subject 2,2022-05-21,4.0,[-17711. -17831. -18123. ... -19852. -19242. -18737.]
subject 2,2022-05-21,4.0,[-19609. -24851. -20036. ... -18582. -18631. -18449.]
subject 2,2022-05-21,4.0,[-17624. -17385. -16983. ... -20646. -20689. -20481.]
subject 2,2022-05-21,4.0,[-17621. -17367. -17265. ... -19640. -19266. -18432.]
subject 2,2022-05-21,4.0,[-17212. -17531. -18141. ... -17225. -17007. -16829.]
subject 2,2022-05-21,4.0,[-16443. -17162. -17544. ... -16240. -15926. -15791.]
subject 2,2022-05-21,4.0,[-16942. -16470. -15946. ... -22509. -19824. -19227.]
subject 2,2022-05-21,4.0,[-18783. -18472. -18698. ... -18972. -19157. -19639.]
subject 2,2022-05-21,4.0,[-17272. -17020. -16731. ... -17523. -17469. -17114.]
subject 2,2022-05-21,4.0,[-18302. -17655. -17346. ... -20192. -19933. -19935.]
subject 2,2022-05-21,4.0,[-18421. -18329. -18775. ... -19849. -19521. -19163.]
subject 2,2022-05-21,4.0,[-18065. -18358. -18646. ... -18957. -18587. -19010.]
subject 2,2022-05-21,4.0,[-18211. -18025. -18002. ... -19866. -21331. -25785.]
subject 2,2022-05-21,4.0,[-17384. -17031. -16706. ... -21227. -25138. -25512.]
subject 2,2022-05-21,4.0,[-15617. -16076. -16394. ... -16143. -15472. -15192.]
subject 2,2022-05-21,4.0,[-16208. -15784. -15882. ... -18669. -18319. -17960.]
subject 2,2022-05-21,4.0,[-15837. -15732. -16010. ... -19024. -19001. -18154.]
subject 2,2022-05-21,4.0,[-16596. -16308. -16051. ... -19569. -19042. -18706.]
subject 2,2022-05-21,4.0,[-17622. -17396. -17497. ... -19972. -19524. -18922.]
subject 2,2022-05-21,4.0,[-16606. -17389. -17129. ... -15265. -15162. -15359.]
subject 2,2022-05-21,4.0,[-17076. -17469. -18144. ... -16164. -16061. -16419.]
subject 2,2022-05-21,4.0,[-17335. -17839. -18149. ... -18169. -18162. -17564.]
subject 2,2022-05-21,4.0,[-17415. -16897. -16862. ... -18506. -18171. -17951.]
subject 2,2022-05-21,4.0,[-15609. -15741. -19794. ... -19509. -19086. -18641.]
subject 2,2022-05-21,4.0,[-19532. -19486. -18939. ... -18939. -19206. -19670.]
subject 2,2022-05-21,4.0,[-17353. -17189. -16826. ... -19875. -19179. -18661.]
subject 2,2022-05-21,4.0,[-17118. -17741. -18193. ... -16672. -16238. -15966.]
subject 2,2022-05-21,4.0,[-17374. -17912. -18895. ... -15754. -15829. -15735.]
subject 2,2022-05-21,4.0,[-18768. -18571. -18312. ... -21039. -20889. -21029.]
subject 2,2022-05-21,4.0,[-16464. -16469. -16098. ... -17411. -16681. -16859.]
